rxnID	rxnEQ	cTrans	rates	type	basis	deviation		
#	0.182425849		m+3					
#	0.880494442	GLY#11	m					
#	0.017478472		m+1					
#	0.102027086		m+2					
#	0.317921497	OAA#1111	m					
#	0.15354302		m+1					
#	0.310371728		m+2					
#	0.101661028		m+3					
#	0.116502727		m+4					
#	0.057641622	CIT#111111	m					
#	0.023394881		m+1					
#	0.478506999		m+2					
#	0.059674002		m+3					
#	0.207295		m+4					
#	0.129879851		m+5					
#	0.043607645		m+6					
#	0.536526756	AKG#11111	m					
#	0.042212658		m+1					
#	0.228337967		m+2					
#	0.066965097		m+3					
#	0.088387817		m+4					
#	0.037569705		m+5					
#	0.586490952	SUC#1111	m					
#	0.037956334		m+1					
#	0.21873762		m+2					
#	0.107405461		m+3					
#	0.049409633		m+4					
#	0.92690106	GLN#11111	m					
#	0.053117911		m+1					
#	0.012009819		m+2					
#	0.002995905		m+3					
#	0.003539035		m+4					
#	0.001436271		m+5					
#	0.031092406	LAC#111	m					
#	0.004468514		m+1					
#	0.034252806		m+2					
#	0.930186274		m+3					
#	0.539204973	GLU#11111	m					
#	0.042288561		m+1					
#	0.223629524		m+2					
#	0.066326965		m+3					
#	0.089405164		m+4					
#	0.039144812		m+5					
#	0.725307435	ASP#1111	m					
#	0.04242404		m+1					
#	0.128596961		m+2					
#	0.080155489		m+3					
#	0.023516075		m+4					
#	0.307438812	ALA#111	m					
#	0.012774026		m+1					
#	0.027904304		m+2					
#	0.651882859		m+3					
#	0.061278755	E4P#1111	m					
#	0.061278755		m+1					
#	0.061278755		m+2					
#	0.028177441		m+3					
#	0.787986294		m+4					
#	0.012260236	P5P#11111	m					
#	0.005411469		m+1					
#	0.016002046		m+2					
#	0.014658983		m+3					
#	0.018641089		m+4					
#	0.933026177		m+5					
#	0.036556707	S7P#1111111	m					
#	0.069444719		m+1					
#	0.069444719		m+2					
#	0.069444719		m+3					
#	0.069444719		m+4					
#	0.069444719		m+5					
#	0.069444719		m+6					
#	0.546774982		m+7					
								
##	error							
#	0.037418974							
#	0.003320618							
#	0.000783125							
#	0.000783125							
#	0.000783125							
#	0.005704369							
#	0.077840626							
#	0.037418974							
#	0.003320618							
#	0.000783125							
#	0.000783125							
#	0.000783125							
#	0.005704369							
#	0.077840626							
#	0.019613443							
#	0.004737776							
#	0.004737776							
#	0.004737776							
#	0.004737776							
#	0.004737776							
#	0.076558091							
#	0.001661371							
#	0.001310481							
#	0.003859221							
#	0.095389078							
#	0.001661371							
#	0.001310481							
#	0.003859221							
#	0.095389078							
#	0.003690471							
#	0.000328916							
#	0.002524999							
#	0.096758579							
#	0.008507515							
#	0.000412562							
#	0.002896817							
#	0.088183105							
#	0.068885725							
#	0.010098764							
#	0.008954209							
#	0.018242585							
#	0.088049444							
#	0.001747847							
#	0.010202709							
#	0.103922552							
#	0.054219838							
#	0.052435269							
#	0.010629732							
#	0.061478436							
#	0.005764162							
#	0.002339488							
#	0.0478507							
#	0.0059674							
#	0.0207295							
#	0.012987985							
#	0.004360764							
#	0.053652676							
#	0.004221266							
#	0.022833797							
#	0.00669651							
#	0.008838782							
#	0.003756971							
#	0.058649095							
#	0.003795633							
#	0.021873762							
#	0.010740546							
#	0.004940963							
#	0.092690106							
#	0.005311791							
#	0.001200982							
#	0.000299734							
#	0.000353904							
#	0.000143627							
#	0.003109241							
#	0.000446851							
#	0.003425281							
#	0.093018627							
#	0.053920497							
#	0.004228856							
#	0.022362952							
#	0.006632696							
#	0.008940516							
#	0.003914481							
#	0.072530743							
#	0.004242404							
#	0.012859696							
#	0.008015549							
#	0.002351608							
#	0.030743881							
#	0.001277403							
#	0.00279043							
#	0.065188286							
#	0.016540335							
#	0.016540335							
#	0.016540335							
#	0.011282248							
#	0.078798629							
#	0.009226884							
#	0.001391659							
#	0.004793096							
#	0.005866212							
#	0.006019994							
#	0.093302618							
#	0.028728235							
#	0.006944472							
#	0.006944472							
#	0.006944472							
#	0.006944472							
#	0.006944472							
#	0.006944472							
#	0.054677498							
